x,y,h
405367.89,5015404.7,17.89845
405374.69,5015402.56,15.22145
405245.41,5015327.93,23.4206
405290.89,5015353.38,19.78179
405369.13,5015396.69,16.98013
405308.79,5015362.93,16.7288
405305.18,5015358.27,18.3021
405299.57,5015354.4,23.31401
405295.52,5015350.92,23.13048
405273.76,5015335.74,17.80206
405374.25,5015390.1,17.07644
405306.9,5015351.6,19.13301
405254.85,5015323.33,20.2217
405295.89,5015343.83,23.38267
405286.26,5015337.62,12.80107
405306.9,5015348.3,18.4157
405302.16,5015342.85,19.17167
405248.39,5015311.71,21.44695
405284.81,5015328.15,22.84759
405308.61,5015340.82,16.72256
405296.97,5015333.01,17.13569
405251.05,5015307.87,18.98247
405296.4,5015328.19,15.49844
405269.72,5015310.7,14.03921
405257.22,5015304.58,16.90341
405281.11,5015316.36,17.23246
405307,5015330.41,12.83515
405305.88,5015325.26,13.68172
405300.16,5015322.16,15.97665
405274.71,5015303.01,15.57859
405290.04,5015309.24,22.06328
405258.51,5015291.95,18.03724
405264.65,5015294.93,16.81606
405291.65,5015304.67,22.18514
405299.43,5015308.58,16.18176
405266.51,5015279.91,13.57534
405295.43,5015293.86,16.03706
405257.84,5015261.14,18.25022
405245.24,5015248.48,22.81896
405300.45,5015276.18,19.76043
405278.2,5015251.38,19.90439
405292.59,5015249.78,15.68142
405307.93,5015254.71,16.63297
405300.63,5015244.18,19.37943
405307.54,5015246.11,20.67621
405309.18,5015233.97,23.3802
405307.66,5015219.62,18.88205
405308.7,5015198.19,22.7275
405404.72,5015325.92,17.93338
405395.6,5015316.76,14.65728
405429.19,5015196.43,16.72071
405413.72,5015196.06,18.61778
405433.37,5015208.68,15.56215
405382.81,5015200.23,15.55194
405376.45,5015199.2,17.87514
405381.35,5015208.09,16.76067
405472.04,5015268.44,15.62622
405462.83,5015268.76,13.85221
405455.44,5015265.98,14.99357
405441.42,5015256.83,16.49032
405432.33,5015254.32,12.22997
405418.7,5015247.8,18.65132
405413.06,5015247.39,18.81002
405465.15,5015276.77,14.96663
405421.86,5015252.27,16.40388
405404.6,5015248.18,17.20232
405418.25,5015256.74,14.24234
405396.56,5015248.35,14.58721
405498.37,5015314.89,19.18837
405410.21,5015290.5,13.45503
405459.09,5015323.74,12.24315
405408.43,5015296.58,16.71477
405447.11,5015324.73,17.88479
405411.57,5015304.9,16.05842
405422.72,5015311.1,14.64056
405406.62,5015306.38,17.89153
405404.8,5015317.28,16.49014
405428.35,5015329.09,17.08774
405440,5015333.1,15.63618
405416.86,5015329.75,15.21148
405434.76,5015342.39,17.63679
405438.33,5015344.97,17.6349
405418.59,5015336.08,17.22799
405431.07,5015346.57,19.04233
405440.21,5015353.65,19.02227
405395.59,5015331.02,15.7939
405426.07,5015352.84,16.61497
405397.12,5015337.01,16.25572
405429.7,5015362.57,17.7625
405393.23,5015342.73,16.21939
405398.43,5015346.91,15.6083
405415.32,5015356.55,15.49032
405425.86,5015364.89,17.40005
405392.48,5015346.58,16.49846
405434.55,5015369.64,17.94295
405391.83,5015352.98,14.46047
405429.24,5015384.97,20.95413
405420.28,5015379.65,15.33572
405381.17,5015361.18,18.17359
405429.44,5015390.23,19.72528
405379.2,5015365.2,13.27374
405407.68,5015380.56,15.07165
405418.88,5015388.58,19.12957
405382.47,5015369.41,14.47193
405385.14,5015375.45,16.92938
405405.18,5015389.53,12.82407
405487.41,5015361.47,18.99267
405456.25,5015342.14,21.90537
405448.89,5015337.51,18.80621
405496.18,5015362.84,20.86915
405481.34,5015352.79,13.14192
405442.65,5015328.66,18.7564
405494.1,5015351.43,12.84269
405448.65,5015345.4,15.29139
405492.46,5015376.4,20.7911
405497.46,5015383.52,22.34817
405489.9,5015383.41,18.86883
405498.7,5015389.28,22.71466
405457.42,5015366.12,15.91188
405472.41,5015381.62,17.90953
405454.02,5015380.42,16.79506
405460.44,5015388.44,17.65007
405408.94,5015457.34,18.03951
405396.93,5015440.13,21.65402
405415.17,5015448.14,18.15795
405430.6,5015454.41,15.39747
405395.77,5015431.47,18.67772
405440.94,5015454.38,17.71901
405423.18,5015444.15,19.84467
405436.41,5015449.7,16.59241
405401.69,5015425.75,16.02744
405432.11,5015444.51,17.32102
405405.12,5015429.12,17.27485
405428.43,5015439.29,19.41918
405436.88,5015442.22,19.37479
405424.02,5015432.84,18.43935
405423.14,5015427.03,18.46346
405438.37,5015431.64,18.415
405440.21,5015396.23,17.85194
405425.41,5015395.37,17.54025
405440.93,5015404.61,18.07189
405432.16,5015402.88,19.64226
405411.48,5015394.75,16.50711
405431.23,5015408.5,18.2962
405442.76,5015414.55,20.36978
405418.96,5015403.83,15.18906
405434.8,5015417.18,18.82963
405429.87,5015416.22,19.93761
405380.11,5015392.61,16.95506
405442.17,5015428.28,17.01279
405432.02,5015425.71,20.76434
405403.89,5015410.36,14.02583
405421.31,5015421.81,17.6858
405381.36,5015399.93,17.95008
405457.2,5015455.8,15.45441
405446.46,5015449.97,18.66635
405465.55,5015455.95,14.55545
405445.06,5015441.27,17.46498
405456.14,5015445.85,16.64318
405471.75,5015450.96,14.66166
405480.94,5015394.56,14.47756
405497.73,5015405.2,20.23493
405499.35,5015408.87,20.72067
405483.23,5015400.06,14.25054
405495.66,5015418.54,22.6065
405472.3,5015405.27,20.21853
405458.64,5015398.24,17.98524
405448.36,5015392.6,18.25906
405483.37,5015413.75,13.168
405465.18,5015404.36,17.99363
405457.03,5015403.31,18.14596
405447,5015403.84,18.37042
405470.84,5015418.03,16.85508
